MNEMONIC NAME,FIELD SIZE,DATA ELEMENT DESCRIPTION,BUSINESS RULES AND EDITS,CLARIFICATION / EXPLANATION OF MNEMONIC,FIELD,ANALYSIS
FTUPS.KPAA,"NUMB 8,2",FINAL TUBING PRESSURE,"mandatory, if [aflo] (flow path) = (t)ubing or (b)oth and [prsty] (pressure test type) <> (34), else can be null.","Final Tubing Pressure (kPaa): For Build-Ups tests, the pressure at end of the shut-in period. For Drawdown tests, the final pressure at end of drawdown period",~ TEST DATA,TRG
FCSPS.KPAA,"NUMB 8,2",FINAL CASING PRESSURE,"mandatory, if [aflo] (flow path) = (a)nnular, (c)asing or (b)oth and [prsty] (pressure test type) <> (34), else can null.        ","Final Casing Pressure (kPaa): For Build-Ups tests, the pressure at end of the shut-in period. For Drawdown tests, the final pressure at end of drawdown period",~ TEST DATA,TRG
PFWH.KPAA,"NUMB 8,2",FINAL FLOWING/INJECTION WELLHEAD PRESSURE,optional.,Measured Final Flowing / injection pressure at the wellhead kPaa,~ TEST DATA,TRG
TSUR.DEGC,"NUMB 5,2",SURFACE TEMPERATURE DEGC,"mandatory, if all [surbtm] (gauge location) gauges = (s)urface.",Temperature measured at wellhead during operations,~ TEST DATA,TRG
AOFTY.,NUMB 2,AOF TYPE,"must be valid aer pas-trg deliverability test code (see footnote). if [aofext] (extended sandface aof) >= 300 and [sgptau] (single-point authorization) is null, then [aofty] (aof type) must = 02 or 32  ; either [aofty] or [prsty] (pressure test type) is mandatory (if [aofty] is null, then [prsty] is mandatory).  if [aofty] = 31 then [aofwh] (stabilized wellhead aof) and [aofwex] (extended wellhead aof) must be =< 21)",,~ AOF / IPR RESULTS SUMMARY,TRG
SGPTAU.,CHAR 7,SINGLE-POINT AUTHORIZATION,"optional, if [aofty] (aof type) < > 02 or 32 and ( [aofext] (extended sandface aof) or [aofsf] (stabilized sanface aof) > = 300.",Authorization Number indicating AER Approval to conduct a Single-Point AOF with potential expected to exceed 300 103m3/d.,~ AOF / IPR RESULTS SUMMARY,TRG
AIN.,CHAR 1,INLINE AOF INDICATOR FLAG,"mandatory, if [aofty] (aof type) is present. must be (y)es or (n)o. if aer records indicate ""well on production"" then [ftdt] (final test date/time) must >= on production date (opd), else error.",Well must be tied into pipeline during operations.            PRD.PAS required if Production Tester on site.,~ AOF / IPR RESULTS SUMMARY,TRG
LIT.,CHAR 1,LIT ANALYSIS INDICATOR FLAG,"mandatory, if [aofty] (aof type) is present. must be (y)es or (n)o.",Flag indicating LIT (Lamiinar-Inertial-Turbulent) Flow Analysis (Y)es or (N)o,~ AOF / IPR RESULTS SUMMARY,TRG
QGLM.E3M3/D,"NUMB 13,4",LAST MEASURED GAS RATE,"mandatory, if [aofty] (aof type) is present.",(103m3/d). Last Measured or Extended Flowrate,~ AOF / IPR RESULTS SUMMARY,TRG
QGST.E3M3/D,"NUMB 13,4",STABILIZED GAS RATE,"mandatory, if [aofty] (aof type) is present.",Calc Stabilized flow rate at Final Test conditions as per Regulatory Requirements (103m3/d),~ AOF / IPR RESULTS SUMMARY,TRG
NSF.,"NUMB 3,2",INVERSE SLOPE AT SANDFACE,if [aofty] (aof type) = 31 then [nsf] (inverse slope at sandface) must be null; if lit = (y)es can be null and if [aofty] (aof type) = 02 or 32  then [nsf] must be => 0.5 and <= 1.0 or if [aofty] = 01 then [nsf] must = 1.0.,"Note: like the current [SGPTAU], approval from the AER would be required prior to submission of test data (an Approval Number will be assigned)",~ AOF / IPR RESULTS SUMMARY,TRG
AOFEXT.E3M3/D,"NUMB 13,4",EXTENDED SANDFACE AOF,"mandatory, if [aofty] (aof type) <> 31, else must be null.",Extended Transient Sandface AOF potential (103m3/d),~ AOF / IPR RESULTS SUMMARY,TRG
AOFSF.E3M3/D,"NUMB 13,4",STABILIZED SANDFACE AOF,"mandatory, if [aofty] (aof type) <> (31), else null.",Stabilized Sandface AOF Potential (103m3/d),~ AOF / IPR RESULTS SUMMARY,TRG
NWH.,"NUMB 3,2",INVERSE SLOPE AT WELLHEAD,"mandatory, if [aofty] (aof type) = (31); if [lit] (lit analysis indicator flag) = (y)es can be null. if [aofty] (aof type) = 02 or 32  then [nsf] must be => 0.5 and <= 1.0 or if [aofty] = 01 then [nwh] must = 1.0.  must be submitted if calculated.","Wellhead inverse slope - ""n"" (should be 0.5-1.0).",~ AOF / IPR RESULTS SUMMARY,TRG
AOFWEX.E3M3/D,"NUMB 13,4",EXTENDED WELLHEAD AOF,"mandatory, if [aofty] (aof type) = 31. if [aofty] <> 31 then can be null.",Extended Transient Wellhead AOF potential (103m3/d),~ AOF / IPR RESULTS SUMMARY,TRG
AOFWH.E3M3/D,"NUMB 13,4",STABILIZED WELLHEAD AOF,"mandatory, if [aofty] (aof type) = 31. if [aofty] <> 31 then can be null.",Stabilized Wellhead AOF potential (103m3/d),~ AOF / IPR RESULTS SUMMARY,TRG
QOLM.M3/D,"NUMB 13,4",LAST MEASURED OIL RATE,"mandatory, if [aofty] (aof type) = 41 then field must be present.",(103m3/d),~ AOF / IPR RESULTS SUMMARY,TRG
QOST.M3/D,"NUMB 13,4",STABILIZED OIL RATE,"mandatory, if [aofty] (aof type) = 41",Calc Stabilized flow rate @ Final Test conditions / Guide 40 (m3/d),~ AOF / IPR RESULTS SUMMARY,TRG
IPRST.M3/D,"NUMB 13,4",STABILIZED OIL IPR,"mandatory, if  [aofty] (aof type) = 41 ",Stabilized inflow performance rate for oil well (m3/d),~ AOF / IPR RESULTS SUMMARY,TRG
IPRMAX.M3/D,"NUMB 13,4",MAXIMUM OIL IPR (M3/D),"mandatory, if  [aofty] (aof type) = 41 ",Maximum inflow performance rate for oil well,~ AOF / IPR RESULTS SUMMARY,TRG
PFSF.KPAA,"NUMB 8,2",STABILIZED FLOWING SANDFACE PRESSURE,"mandatory, if [aofty] (aof type) is present, else if [aofty] = 31 then it can be null. ffield must be present",(kPaa),~ AOF / IPR RESULTS SUMMARY,TRG
LMPFSF.KPAA,"NUMB 8,2",LAST MEASURED FLOWING SANDFACE PRESSURE,if [aofty] (aof type) = 31 then it can be null else mandatory,(kPaa),~ AOF / IPR RESULTS SUMMARY,TRG
PFWH.KPAA,"NUMB 8,2",STABILIZED FLOWING WELLHEAD PRESSURE,"mandatory, if [aofty] (aof type) = 31, must be > 0.00. if [aofty] <> 31,  can be null.",(kPaa),~ AOF / IPR RESULTS SUMMARY,TRG
WPRE.KPAA,"NUMB 8,2",STATIC WELLHEAD PRESSURE,"mandatory, if [aofty] (aof type) = 31, must be > 0.00. if [aofty] <> 31,  can be null.",(kPaa),~ AOF / IPR RESULTS SUMMARY,TRG
LMPFWH.KPAA,"NUMB 8,2",LAST MEASURED FLOWING WELLHEAD PRESSURE,"mandatory, if [aofty] (aof type) = 31, must be > 0.00. if [aofty] <> 31,  can be null.",(kPaa),~ AOF / IPR RESULTS SUMMARY,TRG
PAVG.KPAA,"NUMB 8,2",AVERAGE RESERVOIR PRESSURE AT MPP,"mandatory, if [aofty] (aof type) is present, else if [aofty] = 31 then it can be null.",(kPaa),~ AOF / IPR RESULTS SUMMARY,TRG
AOFC.,CHAR 240,AOF COMMENT,optional,Freeform comment of AOF/Deliverability quality. Data updates AER Pressure Summary Database.,~ AOF / IPR RESULTS SUMMARY,TRG
RTNUM.,CHAR 1,"RATE NO. (1),(2) …..(E)XTENDED.",= <9 or 'e',Rate Period,~ DATA TABLE - PRODUCTION SUMMARY,TRG
FDUR.HR,"NUMB 10,5",FLOW DURATION HOURS,,Hours flowed during each [RTNUM] Period,~ DATA TABLE - PRODUCTION SUMMARY,TRG
QOIL.M3/D,"NUMB 13,4",OIL PRODUCTION RATE,"mandatory, if [wsfl] (well fluid type) = (01), can be zero. if [wsfl] <> (01), can be blank.  if prsty = 50 and injfl = 01 (oil), then cannot be zero and must enter at least 2 dtsum lines",Oil rate during each Rate (RTNUM) Period (m3/d).,~ DATA TABLE - PRODUCTION SUMMARY,TRG
QGAS.E3M3/D,"NUMB 13,4",GAS PRODUCTION RATE,"mandatory, if [wsfl] (well fluid type) = (02) and [prsty] (pressure test type) < > = (11), then  at least 1 line must be >0.00;   if prsty = 50 and injfl = 02 (gas), then cannot be zero and must enter at least 2 dtsum lines                                                                   ",Gas rate during each Rate (RTNUM) Period (103m3/d).,~ DATA TABLE - PRODUCTION SUMMARY,TRG
QCON.M3/D,"NUMB 13,4",CONDENSATE PRODUCTION RATE,can be blank or zero,Condensate rate during each Rate (RTNUM) Period (m3/d).,~ DATA TABLE - PRODUCTION SUMMARY,TRG
CONGR.M3/E-3M3,"NUMB 5,4",CONDENSATE TO GAS RATIO,"mandatory, if [qcon] (condensate production rate) > 0.0",(m3/10-3m3),~ DATA TABLE - PRODUCTION SUMMARY,TRG
GEQV.E3M3/D,"NUMB 13,4",GAS EQUIVALENT OF CONDENSATE,"mandatory, if [qcon] (condensate production rate) > 0.0",(103m3/d),~ DATA TABLE - PRODUCTION SUMMARY,TRG
QRGAS.E3M3/D,"NUMB 13,4",RECOMBINED GAS PRODUCTION RATE,"mandatory, if [qcon] (condensate production rate) > 0.0",(103m3/d),~ DATA TABLE - PRODUCTION SUMMARY,TRG
QWTR.M3/D,"NUMB 13,4",WATER PRODUCTION RATE,"mandatory, can be zero;  if prsty = 50 and injfl = 06 (water), then cannot be zero and must enter at least 2 dtsum lines",Water rate during each Rate (RTNUM) Period (m3/d).,~ DATA TABLE - PRODUCTION SUMMARY,TRG
PRSTY.,NUMB 2,PRESSURE TEST TYPE,"must be valid aer pas-trg well pressure test code (see footnote). can be null if [aofty] (aof type) not null.   if [prsty] (pressure test type) = 06, 11 or 12 then [prps] (test purpose indicator) must = (a)nnual or (o)ther.",NOTE: New Pressure Test Type (PRSTY) for DFIT = 50,~ PRESSURE RESULTS - SUMMARY,TRG
TISI.DAY/HR,YYYY MM DD HHHH,TIME/DATE WELL SHUT-IN,must be > = spud date and < [ftdt] (final test date and time) and the submission date,Date/time well shut-in for final BU/FO,~ PRESSURE RESULTS - SUMMARY,TRG
GSERU.,CHAR 20,GAUGE SERIAL NUMBER USED IN SUMMARY,must be found in 1 raw data table,Serial number of gauge used to represent reservoir,~ PRESSURE RESULTS - SUMMARY,TRG
REPMPP.KPAA,"NUMB 8,2",REPRESENTATIVE PRESSURE AT MPP,"if [intrp] (test interpretation present) = (y)es and ([pextr] (representative extrap/false pressure) = [repmpp] (representative pressure at mpp)) or ([pavg] (representative avg reservoir pressure) = [repmpp]), then the transient pressure can not build or fall by more than 2 kpa/hr (over last 6 hours of shut-in), else error. note: above calculations performed, if test types [prsty] = 04, 06 or 14 by way of [lmp] vs. ~dtg (n) [prga], or if test types [prsty] = 11 or 12 by way of [lmp] vs. ~dtac [psur].",Representative pressure from Gauge or Run/Stop Depth OR Acoustic Calculation converted or adjusted to MPP. (Not for P* or Pr). See [PEXTR] and [PAVG].,~ PRESSURE RESULTS - SUMMARY,TRG
PRCOR.KPA,"NUMB 8,2",PRESSURE CORRECTION,"mandatory, can be zero, else if [gseru] (gauge serial number used in summary) matches a representative gauge (~dtg n) [gser] (gauge serial number), where [surbtm] (gauge location) = (s)urface, then [prcor] must be > 0.00",Report Pressure Differential (value) used to adjust measured pressure from Run Depth or Final Surface pressure to MPP. Negative values if gauge ran below MPP,~ PRESSURE RESULTS - SUMMARY,TRG
LMP.KPAA,"NUMB 8,2",LAST MEASURED PRESSURE AT RUN DEPTH,"if ([prps] (test purpose) = (a)nnual or (i)nitial and ([prsty] (pressure test type) = 04, 11 or 14 (for build-up)) or if ([prps] = (a) and [prsty] = 06 or 12 (for falloff)), and ([intrp] (test interpretation present) = (n)o), then the transient pressure can not build or fall by more than 2 kpa/hr (over last 6 hours of shut-in), else error.  this rule does not apply to dfit [prsty = 50]. note: above calculations performed, if test types [prsty] = 04, 06 or 14 by way of [lmp] vs. ~dtg (n) [prga], or if test types [prsty] = 11 or 12 by way of [lmp] vs. ~dtac [psur].","Last measured reservoir pressure kPaa at selected Run Depth, respresentative of Reservoir (i.e. closest to mpp), OR Last measured Surface Pressure for Acoustic Well Sounders.  If DFIT is used to fulfill initial (I) pressure requirements, the data must still be analyzed even if pressure at end of test is 2 kPa/hr for last 6 hours.            ",~ PRESSURE RESULTS - SUMMARY,TRG
TRES.DEGC,"NUMB 5,2",RESERVOIR TEMPERATURE,,Representative reservoir temperature (DegC),~ PRESSURE RESULTS - SUMMARY,TRG
ANCO.,CHAR 20,COMPANY CONDUCTING ANALYSIS,"mandatory, if [intrp] (test interpretation present) = (y)es",Name of firm that performed analysis,~ PRESSURE RESULTS - SUMMARY,TRG
PEXTR.KPAA,"NUMB 8,2",REPRESENTATIVE EXTRAP/ FALSE PRESSURE,"mandatory, if [intrp] (test interpretation present) = (y)es, else must be null. if present and [prsty] (pressure test type) = (04), (11), or (14), then [pextr] must be = > [repmpp] (representative pressure at mpp), else if [prsty] = (06), (12) or (50) then [pextr] must be <= [repmpp].",Commonly known as P* (kPaa) at MPP,~ PRESSURE RESULTS - SUMMARY,TRG
GRPEXTR.KPA/M,"NUMB 5,3",REPRESENTATIVE EXTRAP/FALSE PRESSURE GRADIENT (TVD),"mandatory, if [prsty] = 50 and [intrp] (test interpretation present) = (y)es;  must be > zero",Reservoir pressure gradient (kPa/m).  ,~ PRESSURE RESULTS - SUMMARY,TRG
PAVG.KPAA,"NUMB 8,2",REPRESENTATIVE AVG RESERVOIR PRESSURE AT THE WELL ,"optional. if present and [prsty] (pressure test type) = (04), (11), or (14), then [pavg] must be >= [repmpp] (representative pressure at mpp),  if [prsty] = (06), (12) or (50) then [pavg] must be <= [repmpp]",Best estimate of reservoir pressure kPaa at MPP,~ PRESSURE RESULTS - SUMMARY,TRG
PWF.KPAA,"NUMB 8,2",SANDFACE FLOWING / INJECTION  PRESSURE AT SHUT-IN,"mandatory, if [intrp] (test interpretation present) = (y)es and [prsty]  (pressure test type) = 11 or 14 [pwf] (sandface flowing pressure at shut-in) must be < [repmpp] (representative pressure at mpp). if [prsty] = 06, 12 or 50 [pwf] (sandface injection pressure at shut-in) must be > [repmpp]","Flowing / injection sandface pressure @ shut-in, (kPaa)",~ PRESSURE RESULTS - SUMMARY,TRG
QRATE.M3/DorE3M3/D,"NUMB 13,4",FINAL RATE PRIOR TO SHUT-IN,"mandatory, if [intrp] (test interpretation present) = (y)es, or [prsty] (pressure test type) = (06), (14), or (24), else can be null. can be negative if [prsty] = (06, 12 or 50), if present and [wsfl] (well fluid type) = (02), then [qrate] must be reported as (e3m3/d), else (m3/d).","Production or Injection prior to build-up or falloff. If Gas, report rate as E3M3/D, else if Oil or Water, report as (m3/d.)",~ PRESSURE RESULTS - SUMMARY,TRG
SKIN.,"NUMB 5,2",CALCULATED SKIN FACTOR,"mandatory, if [intrp] (test interpretation present) = (y)es;  can be negative",Apparent WELLBORE Skin Factor,~ PRESSURE RESULTS - SUMMARY,TRG
KH.MDM,"NUMB 13,7",CALCULATED FLOW CAPACITY,"mandatory, if [intrp] (test interpretation present) = (y)es;  must be > zero",Flow capacity (e.g. use limiting KH.mD·M on composite model). millidarcy-m ,~ PRESSURE RESULTS - SUMMARY,TRG
PRISIP.KPAA,"NUMB 8,2","DFIT INSTANTANEOUS SHUT-IN PRESSURE, BOTTOM HOLE","mandatory, if [prsty] = (50) and [intrp] (test interpretation present) = (y)es;  must be > zero",For DFIT only,~ PRESSURE RESULTS - SUMMARY,TRG
GRISIP.KPA/M,"NUMB 5,3",ISIP GRADIENT (TVD),"mandatory, if [prsty] = (50) and [intrp] (test interpretation present) = (y)es;  must be > zero",For DFIT only,~ PRESSURE RESULTS - SUMMARY,TRG
PRCL.KPAA,"NUMB 8,2","CLOSURE PRESSURE, BOTTOM HOLE","optional, if [prsty] = (50) and [intrp] (test interpretation present) = (y)es;  must be > zero",For DFIT only,~ PRESSURE RESULTS - SUMMARY,TRG
GRCL.KPA/M,"NUMB 5,3",CLOSURE GRADIENT (TVD),"optional, if [prsty] = (50) and [intrp] (test interpretation present) = (y)es;  must be > zero",For DFIT only,~ PRESSURE RESULTS - SUMMARY,TRG
INJFL.,NUMB 2,INJECTED FLUID,"mandatory, if [prsty] = (50) and [intrp] (test interpretation present) = (y)es; must have a valid aer fluid code = (01) oil, (02) gas, (06) water; must be > zero",For DFIT only,~ PRESSURE RESULTS - SUMMARY,TRG
QDFIT.M3/MINUTE,"NUMB 6,4",FINAL INJECTION RATE (DFIT only),"mandatory, if [prsty] = (50) and [intrp] (test interpretation present) = (y)es;  cannot be zero",For DFIT only,~ PRESSURE RESULTS - SUMMARY,TRG
VTDFIT.M3,"NUMB 7,4",TOTAL VOLUME INJECTED FOR DFIT,"mandatory, if [prsty] = (50) and [intrp] (test interpretation present) = (y)es;  cannot be zero",For DFIT only,~ PRESSURE RESULTS - SUMMARY,TRG
LLDFIT.M,"NUMB 10,5",LIQUID LEVEL DFIT M CF (TVD),"mandatory, if [prsty] = (50) and [intrp] (test interpretation present) = (y)es;  cannot be zero",For DFIT only,~ PRESSURE RESULTS - SUMMARY,TRG
EFF.FRAC,"NUMB 4,3",FLUID EFFICIENCY,"optional, if [prsty] = (50) ",For DFIT only,~ PRESSURE RESULTS - SUMMARY,TRG
TFLC.M/MIN1/2,"NUMB 9,8",TOTAL FLUID LOSS COEFFICIENT,"optional, if [prsty] = (50) ",For DFIT only,~ PRESSURE RESULTS - SUMMARY,TRG
RFLC.M/MIN1/2,"NUMB 9,8",RESERVOIR FLUID LOSS COEFFICIENT,"optional, if [prsty] = (50) ",For DFIT only,~ PRESSURE RESULTS - SUMMARY,TRG
Loc.m(MD),"NUMB 7,2",DEPTH OF TEST INTERVAL (m-MD),"mandatory, if [prsty] = (50) ;  must be > zero",For DFIT only; measured depth of the stage where the DFIT was conducted.,~ PRESSURE RESULTS - SUMMARY,TRG
Clusters.,NUMB 3,Number of Clusters for DFIT,optional,For DFIT only,~ PRESSURE RESULTS - SUMMARY,TRG
Compl.,CHAR 250,Type of Completion,optional,Freeform comment for Type of Completion,~ PRESSURE RESULTS - SUMMARY,TRG
PVT.,CHAR 1,PVT Study,"optional, must be either (y)es or (n)o.","If Yes, then attach a PDF of PVT Study to the TRG Pas file.",~ PRESSURE RESULTS - SUMMARY,TRG
PRGC.,CHAR 240,COMMENT ON PRESSURE,optional,"Freeform comment of Pressure - comparison to trend, offsets, shut-in time etc. Data updates AER Pressure Summary Database.",~ PRESSURE RESULTS - SUMMARY,TRG
PAY.M,"NUMB 10,5",VERTICAL HEIGHT OF FORMATION M,,Net pay or height of formation used in analysis,~ ANALYSIS INPUT PARAMETERS,TRG
PORO.FRAC,"NUMB 4,3",ASSUMED POROSITY FRACTION,,Porosity of reservoir used in analysis,~ ANALYSIS INPUT PARAMETERS,TRG
SATW.FRAC,"NUMB 3,2",ASSUMED WATER SATURATION FRACTION,"can be zero, sum of [satw] (assumed water saturation) + [satg] (assumed gas saturation) + [sato] (assumed oil saturation) must = 1 ",Water saturation assumed for this analysis,~ ANALYSIS INPUT PARAMETERS,TRG
SATG.FRAC,"NUMB 3,2",ASSUMED GAS SATURATION FRACTION,can be zero,Gas saturation assumed for this analysis,~ ANALYSIS INPUT PARAMETERS,TRG
SATO.FRAC,"NUMB 3,2",ASSUMED OIL SATURATION FRACTION,can be zero,Oil saturation assumed for this analysis SATO+SATG+SATW=1,~ ANALYSIS INPUT PARAMETERS,TRG
HZFL.M,"NUMB 10,5",HORIZONTAL WELL LENGTH IN FORMATION,"mandatory, if [wtyp] (well type) = (h)orizontal). if [wtyp] = (v)ertical, must be null, else optional.","Must be >0, if WTYP is horizontal",~ ANALYSIS INPUT PARAMETERS,TRG
RDOIL.,"NUMB 4,3",OIL RELATIVE DENSITY ,"if [wsfl] (well fluid type) = 02 may be null, else must be > 0 and <1",Oil density relative to water (unit-less),~ ANALYSIS INPUT PARAMETERS,TRG
RDGAS.,"NUMB 4,3",GAS RELATIVE DENSITY ,"mandatory, if [wsfl] (well fluid type) = 02,  must be > 0 and < 1",Gas density relative to air (unit-less);  Recombined,~ ANALYSIS INPUT PARAMETERS,TRG
RDWTR.,"NUMB 4,3",WATER RELATIVE DENSITY ,must be >= 1,Water density relative to water (unit-less) (>1.0),~ ANALYSIS INPUT PARAMETERS,TRG
PBP.KPAA,"NUMB 8,2",OIL BUBBLE POINT PRESSURE,"if [wsfl] (well fluid type) not = 01, [pbp] (oil bubble point pressure) can be null else mandatory",Bubble point pressure of oil (kPaa),~ ANALYSIS INPUT PARAMETERS,TRG
BO.RM3/M3,"NUMB 4,2",OIL FORMATION VOLUME FACTOR,oil formation volume factor must be given if [wsfl] (well fluid type) = (01) oil.,Oil shrinkage factor from surface to reservoir conditions,~ ANALYSIS INPUT PARAMETERS,TRG
RS.M3/M3,"NUMB 7,2",OIL SOLUTION GOR,"mandatory, if [wsfl] (well fluid type) = 01 (oil); else can be null",Solution gas oil ratio,~ ANALYSIS INPUT PARAMETERS,TRG
PPLV.M,"NUMB 10,5",PUMPING LIQUID LEVEL M CF (TVD) AT TIME = ZERO,"optional. if present, must be < total depth of well.","Liquid level (or Calculated Length of Gas Column) prior to shut-in (at time = zero). As determined by wireline or interpreted by an Acoustic - - in TVD depth, measured mCF. For dry gas wells, Liquid Level (or Length of Gas Column) is to be reported equal to MPP or Null. A depth of zero will be interpreted as ""Liquid to Surface"".",~ ANALYSIS INPUT PARAMETERS,TRG
METHC.,CHAR 240,METHOD OF ACOUSTIC/DEAD WEIGHT TESTER EXTRAPOLATION COMMENT,"mandatory, if [prsty] (pressure test type) = 11 or 12","Description pertaining to the method of Acoustic / DWT calculation, in accordance with AER Guide 3 and Guide 5.",~ ANALYSIS INPUT PARAMETERS,TRG
SURBTM.,CHAR 1,GAUGE LOCATION,"must be (s)urface or (b)ottomhole.                     if prsty = 50, surbtm can be (s) surface or (b) bottomhole and will still meet initial (i) pressure requirements ",Flag indicating Position/Location of Gauge                                          ,~ HEADER DATA - GAUGE (n),TRG
GSER.,CHAR 20,GAUGE SERIAL NUMBER ,one gauge must match [gseru] (gauge serial number used in summary),Serial or Reference number of Gauge/Recorder. Note: Number required for the ability to audit gauge data.,~ HEADER DATA - GAUGE (n),TRG
GTYPMM.,CHAR 90,GAUGE TYPE / MANUFACTURER / MODEL,"gauge type, manufacturer and model must be separated with slashes.","Type (mechanical, electronic, model), manufacturer, and model, of gauge used, for source data",~ HEADER DATA - GAUGE (n),TRG
GRNG.KPAA,"NUMB 8,2",MAXIMUM RECORDER RANGE,,Full scale pressure range of source gauge (kPaa),~ HEADER DATA - GAUGE (n),TRG
GCAL.DAY,YYYY MM DD,DATE OF LAST CALIBRATION,must be < = [ftdt] (final test date/time),Date source gauge last calibrated,~ HEADER DATA - GAUGE (n),TRG
GRES.,"NUMB 6,5",RESOLUTION % OF FULL-SCALE,,Published resolution of source gauge,~ HEADER DATA - GAUGE (n),TRG
GACC.,"NUMB 6,5",ACCURACY % OF FULL-SCALE ,,Published accuracy of source gauge,~ HEADER DATA - GAUGE (n),TRG
RDGAL.M,"NUMB 10,5",GAUGE RUN DEPTH M CF (LOG),"if [surbtm] (gauge location) = (s)urface, then [rdgal] must = 0","Source gauge final stop depth,  (Measured Depth/LOG) in mCF",~ HEADER DATA - GAUGE (n),TRG
GONB.DAY/HR/SS,YYYY MM DD HHHH:SS,DATE/TIME GAUGE ON BOTTOM OR SURFACE RECORDINGS BEGIN ,must be > spud date and < then [gofb] (gauge off bottom or surface recordings cease),Date/time source gauge on bottom,~ HEADER DATA - GAUGE (n),TRG
GOFB.DAY/HR/SS,YYYY MM DD HHHH:SS,DATE/TIME GAUGE OFF BOTTOM OR SURFACE RECORDINGS CEASE,must be > [gonb] (gauge on bottom or surface recordings begin and <= [ftdt] (final test date/time),Date/time source gauge off bottom,~ HEADER DATA - GAUGE (n),TRG
TIME.DAY/HR/SS,YYYY MM DD HHHH:SS,REAL TIME,must be >= spud date and <= abandoned date and <= submission date,24 Hour clock,~ DATA TABLE - GAUGE (n),TRG
TCUM.HR,"NUMB 10,5",GAUGE CUMULATIVE TIME,can be zero.,Cumulative Time (hours),~ DATA TABLE - GAUGE (n),TRG
PRGA.KPAA,"NUMB 8,2",GAUGE PRESSURE,,Pressure measured at that interval in time (kPaa),~ DATA TABLE - GAUGE (n),TRG
TGA.DEGC,"NUMB 5,2",GAUGE TEMPERATURE,,Temperature measured at that interval in time (DegC),~ DATA TABLE - GAUGE (n),TRG
GCOM.,CHAR 240,COMMENT - GENERAL,optional,"Comment on gauge/events (i.e. SI, open to flow, etc.)",~ DATA TABLE - GAUGE (n),TRG
TIME.DAY/HR/SS,YYYY MM DD HHHH:SS,REAL TIME,"if [prsty] (pressure test type) = 11 or 12, then must be >= spud date and <= abandoned date and <= submission date",24 Hour clock,~ DATA TABLE ACOUSTIC,TRG
ETIME.HR,"NUMB 10,5",ELAPSED TIME,can be zero,Elapsed time from start of test,~ DATA TABLE ACOUSTIC,TRG
LLVL.M,"NUMB 10,5",LIQUID LEVEL M CF (LOG),"mandatory if [prsty] (pressure test type) = 11 or 12, can be zero. if [prps] (test purpose indicator) < > (i)inital, then at least 1 occurrence of [llvl] must exist in table. (note: zero = fluid to surface)","Calculated Length of Gas Column, as determined by wireline or interpreted by an Acoustic Shot - in LOG/measured depth (mCF). Note: For dry gas wells, Liquid Level (or Length of Gas Column) is to be reported equal to MPP or Null. A depth of zero will be interpreted as ""Liquid to Surface"".",~ DATA TABLE ACOUSTIC,TRG
LLVT.M,"NUMB 10,5",LIQUID LEVEL M CF (TVD),"mandatory, if [wtyp] (well type) = (d)eviated or (h)orizontal. if [wtyp] = (v)ertical, then [llvt] can be null or = [llvl]","Calculated Length of Gas Column (or liquid level) for each shot (TVD). As determined by wireline or interpreted by an Acoustic - in TVD depth, calculated mCF. Note: See [LLVL]",~ DATA TABLE ACOUSTIC,TRG
PSUR.KPAA,"NUMB 8,2",SURFACE PRESSURE,"mandatory, must be > 90 kpa",Measured casing/surface pressure at corresponding point of time (kPaa),~ DATA TABLE ACOUSTIC,TRG
GRGAS.KPA/M,"NUMB 5,3",GAS GRADIENT (TVD),"mandatory, if [llvl] (liquid level - log) > 0.0 or null. then must appear at least once per table.",Estimated gradient of gas in wellbore,~ DATA TABLE ACOUSTIC,TRG
GROIL.KPA/M,"NUMB 5,3",OIL GRADIENT  (TVD),"mandatory, if [wsfl] (well fluid type) = (01) or (17). then must appear at least once per table",Estimated gradient of oil in wellbore,~ DATA TABLE ACOUSTIC,TRG
GRWTR.KPA/M,"NUMB 5,3",WATER GRADIENT  (TVD),"mandatory, if [qwtr] (water production or injection rate) > 0.0.  then must appear at least once per table",Estimated gradient of water in wellbore,~ DATA TABLE ACOUSTIC,TRG
PMPPT.KPAA,"NUMB 8,2",CALCULATED PRESSURE AT MPP (TVD),"if ([ftdt] (final test date/time) - [tisi] (date/time well shut-in)) < 14 days) and [prps] (test purpose indicator) = (a)nnual or (i)nitial, get [pmppt] at the last real time in the table then go back  6 hours and subtract the [pmppt] at that time) if value is <= 2.5 kpa/hr, ok,  else error. ",Calculated using above parameters at corresponding point in time,~ DATA TABLE ACOUSTIC,TRG
PRGA.KPAA,"NUMB 8,2",GAUGE PRESSURE,,Pressure (can be null for time before recorded data),~ DATA TABLE - INLINE RATE AND PRESSURE SUMMARY,TRG
ITIME.HR,"NUMB 10,5",INCREMENTAL HOURS,"if present, [itime] must increment. can be negative",Elapsed time (can be negative for rates prior to recorded pressure data),~ DATA TABLE - INLINE RATE AND PRESSURE SUMMARY,TRG
QGAS.E3M3/D,"NUMB 13,4",GAS PRODUCTION RATE,"if [qoil] (oil production rate) > 0.00, can be null or zero",Gas rate used for the transient analysis (can be null between rate change),~ DATA TABLE - INLINE RATE AND PRESSURE SUMMARY,TRG
